банки|4480|Банки
банковское-оборудование|120|Банковское оборудование|Ремонт банковского оборудования
банкоматы|450|Банкоматы
бары|2670|Бары|Рюмочные
крытые-бассейны|40|Бассейны
продажа-безалкогольных-напитков|20|Безалкогольные напитки|Минеральная вода|Питьевая вода
бензоинструмент|3800|Бензоинструмент
бескаркасная-мебель|200|Бескаркасная мебель
библиотеки-и-книги|630|Библиотеки
аксессуары-и-бижутерия|150|Бижутерия
бизнес-центры-коммерческая-недвижимость|20|Бизнес-центры
бильярдные-залы|1140|Бильярдные залы
бады|130|Биологически активные добавки (бад)|Биологически активные добавки (БАД)
благотворительные-фонды|5260|Благотворительные фонды
обустройство-улиц|670|Благоустройство улиц
больницы|11860|Больницы
ботанические-сады|50|Ботанический сад|Ботанический сад / Дендрарий
боулинг-клубы|2450|Боулинг
бронетранспорт|60|Бронированные автомобили
бумага-для-полиграфии|290|Бумага для полиграфии
упаковка-из-бумаги|20|Бумажная упаковка
услуги-бункеровки-судов|410|Бункеровка судов
буровое-оборудование|440|Буровое оборудование
буровые-работы|1700|Буровые работы
бухгалтерские-курсы|520|Бухгалтерские курсы
программы-для-бухгалтерии|130|Бухгалтерские программы
услуги-бухгалтеров|130|Бухгалтерские услуги
продажа-бытовой-техники|2110|Бытовая техника
химия-для-дома|60|Бытовая химия
судмедэкспертиза|50|Бюро медико-социальной экспертизы
войлочно-валяные-изделия|130|Валяльно-войлочные изделия
ведение-дел-в-судах|2370|Ведение дел в судах
веллнесс-услуги|10|Велнес-залы
продажа-и-аренда-велосипедов|100|Велосипеды
вендинговое-оборудование|280|Вендинговое оборудование
осенняя-и-зимняя-верхняя-одежда|8010|Верхняя одежда
весовое-оборудование|440|Весовое оборудование
апетки-для-животных|50|Ветеринарные аптеки
клиники-для-животных|30|Ветеринарные клиники
ветеринарные-исследования|200|Ветеринарные лаборатории
препараты-для-животных|60|Ветеринарные препараты
взрывные-работы|180|Взрывные работы
видеостудии|150|Видеостудии
услуги-вневедомственной-охраны|220|Вневедомственная охрана
военная-комендатура|2040|Военная комендатура
юношеские-военно-патриотические-организации|280|Военно-патриотические клубы
военкоматы|1040|Военные комиссариаты
воскресные-школы-для-детей|1240|Воскресные школы
услуги-амбулаторного-лечения|230|Врачебные амбулатории
двери-входные|100|Входные двери|Установка входных групп
вызов-ветеринара|80|Выездные ветеринарные службы
высотные-работы|650|Высотные работы
газеты|8160|Газеты
продажа-газового-оборудования|60|Газовое оборудование
газовое-оборудование-для-автомобилей-и-автобусов|670|Газовое оборудование для автотранспорта
гаражные-кооперативы|3210|Гаражные кооперативы
организация-геодезических-работ|100|Геодезические работы
геодезическое-оборудование|1030|Геодезическое оборудование
организация-геологических-работ|110|Геологические работы|Гидрогеологические работы
услуги-геологоразведки|160|Геологоразведочные работы
организация-геофизических-работ|140|Геофизические работы|Геофизическое оборудование
органы-гибдд|2410|Гибдд|ГИБДД|ГАИ
услуги-гидрогеологов|240|Гидрогеологические работы|Геологические работы
материалы-для-гидроизоляции|20|Гидроизоляционные материалы|Герметики, клеи
работы-по-гидроизоляции|310|Гидроизоляционные работы
оборудование-для-гидромассажа|130|Гидромассажное оборудование
гидрометеослужба|90|Гидрометеослужба
строительство-гидротехнических-сооружений-и-конструкций|250|Гидротехническое строительство
средние-учебные-заведения-гимназии|1420|Гимназии
гимназии-с-проживанием|500|Гимназии-интернаты
гипермаркеты|2380|Гипермаркеты
оборудование-для-горно-шахтных-работ|110|Горно-шахтное оборудование
городские-автогрузоперевозки|1000|Городские автогрузоперевозки
городские-информационные-сайты|370|Городские информационные сайты
городские-оркестры|30|Городские оркестры
госпитали|1860|Госпитали
комнаты-в-гостевом-доме|130|Гостевые дома
гостиничное-размещение|30|Гостиницы|Бронирование гостиниц
гостиницы-для-кошек-и-собак|50|Гостиницы для животных
государственные-архивы|8000|Государственные архивы
федеральные-информационные-ресурсы|80|Государственные информационные сайты
упаковка-из-гофрокартона|70|Гофротара
углеродные-и-композиционные-материалы|40|Графитированное производство
центры-дайвинга|120|Дайвинг-центры
средства-для-дезинфекции|30|Дезинфицирующие средства
дельфинарии|280|Дельфинарий
дендрарий|70|Дендрарий|Ботанический сад / Дендрарий
оборудование-для-деревообработки|100|Деревообрабатывающее оборудование
инструмент-для-деревообработки|50|Деревообрабатывающий инструмент
обработка-древесины|1520|Деревообработка
тара-из-древесины-и-продуктов-ее-переработки|250|Деревянная тара
частные-детективы|150|Детективные услуги
специальные-устройства-детекторы-лжи|100|Детекторы лжи
детская-мебель|4570|Детская мебель
обувь-для-детей|720|Детская обувь
одежда-для-детей|2680|Детская одежда
оздоровительные-лагеря|80|Детские лагеря
музыкальные-школы-для-детей|2000|Детские музыкальные школы
питание-для-детей|850|Детское питание
джинсовая-одежда|2640|Джинсовая одежда
центры-диагностических-исследований|3610|Диагностические центры
центры-почечного-диализа|1560|Диализные центры
услуги-интерьерного-дизайна|40|Дизайн интерьеров
рекламный-дизайн|500|Дизайн рекламы
курсы-для-дизайнеров|570|Дизайнерские курсы
услуги-рассылки|370|Директ-мэйл
диспансеры-лечебно-профилактические-учреждения|10|Диспансеры
диспетчерские-услуги|420|Диспетчерские службы
добыча-природного-сырья|30|Добыча природного сырья
социальные-организации-для-пенсионеров-дома-престарелых|3770|Дома престарелых
дома-ребёнка-дома-малютки|19000|Дома ребёнка
персонал-для-дома|30|Домашний персонал
еда-с-доставкой|440|Доставка готовых блюд
доставка-цветов|3480|Доставка цветов
продажа-древесного-угля|150|Древесный уголь
семинарии-и-духовные-образовательные-учреждения|90|Духовные учебные заведения
железнодорожные-билеты|790|Железнодорожные билеты
железнодорожные-вокзалы-и-станции|500|Железнодорожные вокзалы и станции
железнодорожные-грузоперевозки|1480|Железнодорожные грузоперевозки
изделия-из-железобетона|1680|Железобетонные изделия
женская-одежда|15070|Женская одежда
женские-консультации|1780|Женские консультации
разведение-животных|180|Животноводство
услуги-жкх|30|Жилищно-коммунальные услуги
строительство-домов|190|Жилищное строительство|Строительные работы: комплексные работы "под ключ"
журнальные-издательства|30|Журналы
загсы|2940|Загсы|ЗАГСы
автобусы-на-заказ|1350|Заказ автобусов
такси-для-перевозки-животных|730|Заказ легкового транспорта по перевозке животных
заказ-пассажирского-легкового-транспорта|370|Заказ пассажирского легкового транспорта
спецтехника-на-заказ|480|Заказ спецтехники
законодательная-власть|440|Законодательная власть
заправка-картриджей|40|Заправка картриджей
запчасти-для-общественного-транспорта|140|Запчасти для общественного транспорта
запчасти-для-спецтехники|660|Запчасти для спецтехники
запасные-части-для-водного-транспорта|80|Запчасти для судов
запчасти-для-сельхозтехнике|13630|Запчасти к сельхозтехнике
защита-авторских-прав|360|Защита авторских прав
звукоизоляционные-материалы|500|Звукоизоляционные материалы
рытье-траншей-котлованов|40|Земляные работы|Службы мелиорации земель
переработка-зерна|450|Зернопереработка
пошив-одежды-для-животных|110|Зооателье
зоопарки|2480|Зоопарк
изготовление-зубных-протезов|160|Зуботехнические лаборатории
детские-товары-игрушки|100|Игрушки
избирательные-комиссии-работа-с-электоратом|80|Избирательные комиссии|Избирательные участки
бизнес-сувениры|20|Изготовление бизнес-сувениров
изготовление-ключей|23130|Изготовление ключей
лекарства-на-заказ|360|Изготовление лекарственных препаратов на заказ
мебель-под-заказ|280|Изготовление мебели под заказ
рекламные-конструкции|10|Изготовление рекламных конструкций
фотокниги|150|Изготовление фотокниг
изделия-из-камня-для-помещений|100|Изделия из камня для помещений
стеклопластиковые-изделия|180|Изделия из стеклопластика
измерительное-оборудование|20|Измерительный инструмент
иконописные-мастерские|20|Иконописные мастерские
инвестиционные-компании|1000|Инвестиционные компании|Продажа инвестиционных драгоценных металлов / бриллиантов
услуги-инженеров|210|Инженерные службы
инжиниринговые-услуги|600|Инжиниринговые услуги
инспекции|3230|Инспекции
высшие-учебные-заведения-институты|2770|Институты
интернет-провайдеры|7820|Интернет-провайдеры
услуги-в-области-информационной-безопасности|150|Информационная безопасность
услуги-информационных-агентств|60|Информационные агентства
тюрьмы-исправительные-учреждения|940|Исправительные учреждения
залы-для-караоке|240|Караоке-залы
тенты-и-палатки|1440|Каркасно-тентовые конструкции
гардины-и-карнизы-для-штор|60|Карнизы
валютно-обменная-деятельность|470|Кассы обмена валют|Пункты обмена валют
кафе|32630|Кафе
бюро-поиска-квартир|200|Квартирные бюро
кейтеринг-доставка-еды|840|Кейтеринг
керамика-для-интерьера|20|Керамические изделия
продажа-керамогранита|20|Керамогранит
кинозалы-с-аттракционами|40|Киноаттракционы
аренда-и-продажа-кинооборудования|20|Кинооборудование – аренда, продажа
киностудии|50|Киностудии
кинотеатры|1550|Кинотеатры
школы-кино|20|Киношколы
продажа-кирпича|130|Кирпич
места-погребения-кладбища|20|Кладбища
книжные-издания|970|Книги|Комиксы
кованые-металлические-изделия|2360|Кованые изделия
коворкинг-центры|400|Коворкинг
ковры-для-интерьера|800|Ковры
колбасы-мясопродукты|5370|Колбасные изделия
средне-специальные-учебные-заведения-колледжи|16760|Колледжи
коллекторские-услуги|1530|Коллекторские услуги
фабрики-кухни|330|Комбинаты питания|Сухой паёк
комиссионные-магазины|84010|Комиссионные магазины
коммутационное-оборудование|180|Коммутационное оборудование
детали-для-дверей|770|Комплектующие для дверей
детали-для-окон|830|Комплектующие для окон
интернет-кафе-и-компьютерные-клубы|11080|Компьютерные клубы
курсы-обучения-работе-с-компьютером|20|Компьютерные курсы
магазины-кондитерских-изделий|30|Кондитерские изделия|Кондитерский инвентарь
оборудование-для-кондиционирования|60|Кондиционеры
консервы|1620|Консервированная продукция
технические-институты-и-конструкторские-бюро|50|Конструкторские бюро
металлические-грузовые-контейнеры|190|Контейнеры для грузоперевозок
контрактное-изготовление-электроники|30|Контрактная разработка электронных устройств
контрактные-автозапчасти|3370|Контрактные автозапчасти
оборудование-кипиа|120|Контрольно-измерительные приборы (кипиа)|Контрольно-измерительные приборы (КИПиА)
залы-для-концертных-программ|50|Концертные залы
услуги-копирования-и-распечатки|22320|Копировальные услуги
косметика-ручной-работы|430|Косметика ручной работы
услуги-косметолога|50|Косметические услуги|Услуги по уходу за ресницами / бровями
краски|130|Красящие вещества
организация-кремирования-крематории|10|Крематории
крепеж|30|Крепёжные изделия
материалы-для-кровли|60|Кровельные материалы
кровельные-работы|4260|Кровельные работы
ремонт-кузова|2370|Кузовной ремонт
кулинария|1960|Кулинария
кулинарные-курсы|660|Кулинарные курсы
организация-досуга-для-взрослых|1100|Культурно-досуговые центры для взрослых
вокальные-школы|860|Курсы вокала
курсы-для-диджеев|30|Курсы диджеев
реактивы-для-лабораторий|130|Лабораторные реактивы
лаки-краски|10|Лакокрасочные материалы
ландшафтная-архитектура|920|Ландшафтная архитектура
лекарственные-препараты|830|Лекарственные препараты
лечение-лор-заболеваний|2130|Лечение лор-заболеваний|Лечение ЛОР-заболеваний
лизинг|900|Лизинговые услуги
литейное-производство|970|Литейное производство
средние-учебные-заведения-лицеи|1040|Лицеи
оформление-лицензий|220|Лицензирование
ломбард|7970|Ломбарды
обувные-магазины|20|Магазины обувные|Унты|Обувные магазины
подарочные-сертификаты|280|Магазины подарочных сертификатов
разливное-пиво|5000|Магазины разливного пива
материалы-для-строительства|60|Магазины строительных материалов|Строительные материалы
магниты|60|Магниты
бакалея-и-макаронная-продукция|650|Макаронные изделия
малярное-оборудование|410|Малярный инструмент
стройматериалы-для-жд-путей|130|Материалы для железнодорожных путей
материалы-для-изготовления-рекламной-продукции|580|Материалы для наружной рекламы
продажа-матрасов|30|Матрасы
мебель-в-ванную|2200|Мебель для ванных комнат
мебель-для-учреждений-культуры|30|Мебель для культурно-досуговых учреждений
кухонная-мебель|130|Мебель для кухни
медицинская-лабораторная-мебель|30|Мебель для медицинских учреждений и лабораторий
мебель-для-кафе-ресторанов|60|Мебель для предприятий общественного питания
мебель-для-учебных-и-дошкольных-учреждений|2050|Мебель для учебных и дошкольных учреждений
стеклянная-мебель|40|Мебель из стекла
корпусная-мебель|120|Мебель корпусная|Корпусная мебель
мягкая-мебель|70|Мебель мягкая|Мягкая мебель
офисная-мебель|30|Мебель офисная|Офисная мебель
фурнитура-для-мебели|20|Мебельная фурнитура
ткани-для-обивки-мебели|59690|Мебельные ткани
фасады-для-мебели|1990|Мебельные фасады
медсанчасти|300|Медико-санитарные части|Медвытрезвители
проведение-медкомиссий|5560|Медицинские комиссии|Медицинские анализы
лаборатории-медицинские|10|Медицинские лаборатории
расзодные-материалы-для-медицины|280|Медицинские расходные материалы
междугородные-автогрузоперевозки|1810|Междугородные автогрузоперевозки
международные-грузоперевозки|550|Международные грузоперевозки
межкомнатные-двери|25290|Межкомнатные двери
учебные-комбинаты-для-школьников|10|Межшкольные учебные комбинаты
интерьерная-мебель-из-металла|260|Металлическая мебель для помещений
металлические-изделия|220|Металлоизделия
инструмент-для-металлообработки|10|Металлообрабатывающее оборудование
металлообработка|2640|Металлообработка
оборудование-для-резки-металла|10|Металлорежущий инструмент
метро|250|Метрополитен
мечети-и-медресе|1000|Мечети
миграционные-услуги|3870|Миграционные услуги
микрозаймы|20|Микрофинансирование
многопрофильные-медицинские-центры|5590|Многопрофильные медицинские центры|Центры здоровья
мобильные-телефоны|5620|Мобильные телефоны
модельные-агентства|6210|Модельные агентства
модернизация-компьютеров|60|Модернизация компьютеров
молоко-молочные-продукты|60|Молочные продукты
православные-монастыри|1020|Монастыри
установка-климатических-систем|40|Монтаж климатических систем
установка-компьютерных-сетей|130|Монтаж компьютерных сетей
установка-систем-пожарной-охраны|130|Монтаж охранно-пожарных систем
монтаж-телефонных-сетей|130|Монтаж телефонных сетей|Бюро ремонта городских АТС
морги|3300|Морги
киоски-по-продаже-мороженого|1340|Мороженое
мототехника|3210|Мототехника
мужская-одежда|8600|Мужская одежда
музеи|1040|Музеи
обучение-игре-на-музыкальных-инструментах|100|Музыкальные курсы
виниловые-пластинки|1440|Музыкальные пластинки
многофункциональные-центры-мфц|1640|Мфц|МФЦ
навигационное-оборудование|340|Навигационное оборудование
налоговые-инспекции|3520|Налоговые инспекции
насосы|20|Насосное оборудование
магазины-настольных-игр|60|Настольные игры|Клубы настольных игр / видеоигр
нии|1700|Научно-исследовательские институты
негосударственные-пенсионные-фонды|3380|Негосударственные пенсионные фонды
услуги-независимой-инвентаризации|110|Независимая инвентаризация
независимые-аварийные-комиссары|90|Независимые службы аварийных комиссаров|Службы аварийных комиссаров
скорая-помощь-детям|30|Неотложная медицинская помощь детям
нержавеющий-металлопрокат|4490|Нержавеющий металлопрокат
нетканые-материалы-для-интерьера|130|Нетканые материалы
оборудование-для-нефтегазовой-отрасли|220|Нефтегазовое оборудование
белье-пижамы|15730|Нижнее бельё
новогодние-товары|850|Новогодние товары
новостройки|11250|Новостройки
маникюр-и-педикюр|30|Ногтевые студии
продажа-ножей|600|Ножи
нотариальные-органы|30|Нотариальные палаты
нотариальные-услуги|3930|Нотариальные услуги
ночлежные-дома|40|Ночлежные дома
ночные-клубы|5380|Ночные клубы
материалы-для-облицовки-мебели|100|Облицовочные материалы для мебели
камень-для-облицовки|610|Облицовочный камень
обои|16170|Обои
продажа-оболочки-для-колбачных-изделий|20|Оболочка для колбасных изделий
техника-для-автоматизации-производств|250|Оборудование для автоматизации промышленных предприятий
техника-для-автоматизации-торговли|20|Оборудование для автоматизации торговли
автомоечное-оборудование|10|Оборудование для автомоек
техника-для-автосервиса|150|Оборудование для автосервиса
техника-для-автошкол|20|Оборудование для автошкол
техника-для-бассейнов|150|Оборудование для бассейнов
лабораторное-оборудование|660|Оборудование для лабораторий
полимерное-оборудование|40|Оборудование для нанесения полимерных покрытий
оборудование-для-очистки-воды|480|Оборудование для очистки воды
пищевое-оборудование|50|Оборудование для пищевого производства
техника-для-предприятий-общественного-питания|530|Оборудование для предприятий общественного питания
мебельное-оборудование|40|Оборудование для производства мебели
металлургическое-оборудование|40|Оборудование для производства металла
техника-для-производства-окон|10|Оборудование для производства окон
техника-для-производства-стройматериалов|50|Оборудование для производства строительных материалов
техника-для-промышленной-маркировки|20|Оборудование для промышленной маркировки
техника-для-салонов-красоты|360|Оборудование для салонов красоты
сельскохозяйственное-оборудование|20|Оборудование для сельского хозяйства
энергосберегающее-оборудование|20|Оборудование для энергосбережения
обсерватории-и-планетарии|50|Обсерватории
обслуживание-ям-и-септиков|30|Обслуживание выгребных ям
обувь-оптом|140|Обувь - опт
обучение-бизнес-профессиям|450|Обучение бизнес-профессиям
зарубежное-образование|120|Обучение за рубежом
курсы-имидж-консультантов-и-стилистов|20|Обучение имидж-консультантов
массажные-курсы|320|Обучение массажистов
маникюрные-и-парикмахерские-курсы|2060|Обучение мастеров для салонов красоты
изучение-морских-профессий|90|Обучение морским профессиям
подготовка-по-охране-труда|60|Обучение по охране труда
среднее-профессиональное-образование|20|Обучение рабочим профессиям
профессиональная-подготовка-охранников|10|Обучение сотрудников охраны
школы-подготовки-судоводителей|20|Обучение судовождению
танцевальные-школы|3190|Обучение танцам
курсы-фитнес-инструкторов|660|Обучение фитнес-инструкторов
аренда-комнат-общежития|50|Общежития
туалеты-для-общего-пользования|50|Общественные туалеты
огнезащитная-обработка|3050|Огнезащитная обработка
материалы-для-огнезащиты|40|Огнезащитные материалы
пластиковая-посуда|220|Одноразовая посуда
океанариум|650|Океанариум
окна|15310|Окна|Остекление / отделка балконов и лоджий
услуги-оперативной-полиграфии|60|Оперативная полиграфия
провайдеры-кабельного-телевидения|12290|Операторы кабельного телевидения
операторы-мобильной-связи|3360|Операторы сотовой связи
деятельность-на-фондовом-рынке|560|Операции на фондовом рынке
оптика-подбор-очков-проверка-зрения|27840|Оптика|Контактные линзы|Солнцезащитные очки
проведение-праздников|40|Организация и проведение праздников
проведение-промоакций|30|Организация и проведение промоушн-акций
организация-экскурсий-по-городу|480|Организация экскурсий по городу
надзорные-государственные-службы|510|Органы государственного надзора
техника-для-офиса|40|Оргтехника
ортопедия-и-травматология|3620|Ортопедия и травматология
общая-врачебная-практика|200|Отделения общей врачебной практики
отделения-полиции|3680|Отделения полиции
отделения-электросвязи|70|Отделения электросвязи
материалы-для-отделки-помещений|10|Отделочные материалы
ветеринарные-службы|10|Отделы ветеринарно-санитарного контроля
отделы-доставки-пенсий-и-пособий|880|Отделы доставки пенсий и пособий
бумага-для-оргтехники|50|Офисная бумага
офисные-атс|650|Офисные атс|Офисные АТС
оформление-виз|2100|Оформление виз
оформление-купли-продажи-автомобилей|15810|Оформление купли-продажи автомобилей
офсетная-печать|740|Офсетная печать
оценка-собственности|1740|Оценка собственности
оборудование-для-очистки-воздуха|120|Очистители воздуха
услуги-очищения-организма|120|Очищение организма
парикмахерские-салоны|330|Парикмахерские
парк-бабочек|150|Парк бабочек
парки|1700|Парки культуры и отдыха
патентование|180|Патентные услуги
патронажные-услуги|570|Патронажные услуги
пенсионные-фонды|5410|Пенсионные фонды
услуги-перевода-с-иностранных-языков|350|Перевод с иностранных языков
оптовая-продажа-пива|120|Пиво - опт
планетарии|420|Планетарий
пластиковая-тара|6110|Пластиковая тара
пластическая-хирургия|500|Пластическая хирургия
платежные-системы|30|Платёжные системы интернета
платежные-устройства-терминалы|350|Платёжные терминалы
пляж|30|Пляжи
пневмоинструмент|240|Пневмоинструмент
погонаж|60|Погонажные изделия
упаковка-для-подарков|20|Подарочная упаковка|Услуги по упаковке подарков
услуги-подводных-техников|60|Подводно-технические работы
подшипники|6930|Подшипники
пожарная-безопасность|2410|Пожарная безопасность
пожарная-охрана|2370|Пожарная охрана
полиграфия|80|Полиграфические услуги
поликлиники-для-взрослых|150|Поликлиники взрослые|Взрослые поликлиники
порошковое-полимерное-покрытие|1090|Полимерная порошковая окраска
политические-партии-и-организации|210|Политические организации
репетиторство|20|Помощь в обучении|Автоматизация процессов обучения
помощь-в-организации-похорон|1300|Помощь в организации похорон
приемная-депутата|6190|Приёмные депутатов
приёмные-уполномоченных-по-правам-человека|600|Приёмные уполномоченных по правам человека|Приёмные Уполномоченных по правам человека
церковные-приходы|190|Приходы
приюты-для-животных|17290|Приюты для животных
продажа-автобусов|90|Продажа автобусов
реализация-грузовых-автомобилей|540|Продажа грузовых автомобилей|Автоприцепы
живые-бабочки|290|Продажа живых бабочек
инфракрасные-кабины|30|Продажа инфракрасных кабин
реализация-легковых-автомобилей|3630|Продажа легковых автомобилей
лотерейные-билеты|3100|Продажа лотерейных билетов
металлоискатели|860|Продажа металлоискателей|Металлоискатели
продажа-программного-обеспечения|700|Продажа программного обеспечения
продажа-и-регистрация-электронной-подписи|80|Продажа электронных подписей
продуктовые-магазины|14370|Продовольственные магазины
продукты-быстрого-приготовления|660|Продукты быстрого приготовления
мед-пчеловодческая-продукция|2700|Продукты пчеловодства
разработка-инженерных-систем|20|Проектирование инженерных систем
проекторы|20|Проекционное оборудование
изготовление-запчастей-для-авто|150|Производство автокомплектующих
выпуск-изделий-из-пластмасс|40|Производство изделий из пластмасс
выпуск-обувной-продукции|60|Производство обуви
печать-пластиковых-карт|40|Производство пластиковых карт
прокат-автотранспорта|670|Прокат автотранспорта
прокуратура|8510|Прокуратура
услуги-промышленного-строительства|2310|Промышленное строительство
услуги-промышленного-дизайна|10|Промышленный дизайн
клининговые-услуги|70|Профессиональная уборка
химия-профессиональная|100|Профессиональная химия
средне-специальные-учебные-заведения-профессиональные-лицеи|620|Профессиональные лицеи
спортивные-клубы-для-профессионалов|200|Профессиональные спортивные клубы
центры-обработки-расчетов|50|Процессинговые центры
пряжа-и-товары-для-вязания|20|Пряжа
психиатрические-центры|20|Психиатрические учреждения
психологическая-помощь-в-избавлении-от-зависимостей|340|Психологическая помощь в избавлении от зависимостей
проведение-психолого-медико-педагогических-комиссий|280|Психолого-медико-педагогические комиссии
контроль-уровня-радиации|120|Радиационный контроль
радиокомпании|130|Радиостанции
радиоэлектроника|2930|Радиоэлектронные приборы
наружная-реклама|50|Размещение наружной рекламы
реклама-в-интернете|140|Размещение рекламы в интернете
реклама-в-сми|10|Размещение рекламы в сми|Размещение рекламы в СМИ
разработка-компьютерных-игр|40|Разработка компьютерных игр
расходные-материалы-для-оргтехники|800|Расходные материалы для оргтехники
расходники-для-печати-и-полиграфии|220|Расходные материалы для полиграфии
реабилитационные-центры|6740|Реабилитационные центры
регистрация-ценных-бумаг|800|Регистрация ценных бумаг|Ведение реестра владельцев ценных бумаг
резинотехнические-изделия|2050|Резинотехнические изделия
рекламные-агентства-полного-цикла|890|Рекламные агентства полного цикла
капитальный-ремонт-и-реконструкция|2320|Реконструкция и капремонт зданий
организации-религиозной-сферы|10|Религиозные организации
товары-для-богослужений|320|Религиозные товары
ремонт-автоэлектрики|17410|Ремонт автоэлектрики
обслуживание-двигателей-на-бензине|60|Ремонт бензиновых двигателей
ремонт-бензоинструмента|8610|Ремонт бензоинструмента
услуги-ремонта-выхлопных-систем|290|Ремонт выхлопных систем
ремонт-грузовых-автомобилей|3750|Ремонт грузовых автомобилей
ремонт-товаров-для-детей|60|Ремонт детских товаров
обслуживание-двигателей-на-дизеле|30|Ремонт дизельных двигателей
компьютерный-сервис|1280|Ремонт компьютеров
ремонт-мобильных-устройств-связи|3440|Ремонт мобильных устройств связи|Запчасти к мобильным телефонам
ремонт-мотоциклов|30|Ремонт мототехники
ремонт-окон|3800|Ремонт окон
оргтехника|340|Ремонт оргтехники
ремонт-очков|9920|Ремонт очков
обслуживание-промышленного-оборудования|140|Ремонт промышленного оборудования
обслуживание-спецтехники|370|Ремонт спецтехники
ремонт-спортивных-товаров|50|Ремонт спортивного инвентаря|Ремонт спортивного оборудования
ремонт-топливной-аппаратуры-дизельных-двигателей|2190|Ремонт топливной аппаратуры дизельных двигателей
обслуживание-торгового-оборудования|100|Ремонт торгового оборудования
ремонт-ходовой|30|Ремонт ходовой части автомобиля
ремонт-часов|15230|Ремонт часов
ремонт-электродвигателей|12320|Ремонт электродвигателей
обслуживание-электроинструмента|510|Ремонт электроинструмента
ремонт-электронных-систем-управления-автомобиля|320|Ремонт электронных систем управления автомобиля
репетиционные-студии|90|Репетиционные студии
услуги-реставрации-ванн|280|Реставрация ванн
восстановление-исторических-и-культурных-памятников|20|Реставрация памятников истории и культуры
рестораны|5690|Рестораны
речной-вокзал|280|Речной вокзал
ритуальные-услуги-для-животных|300|Ритуальные услуги для животных
роддома|1130|Родильные дома
принадлежности-для-рыбалки|70|Рыболовные принадлежности|Товары для рыбалки
рынки|9080|Рынки
садово-огороднические-товарищества|470|Садоводческие товарищества
сайты-объявлений|110|Сайты объявлений
